technique,movement,clustering,dv,n,W,p_shapiro,normal_at_05
POINT,STATIC,HIGH,avgErrorClicks,3,0.75,0.0,False
POINT,STATIC,HIGH,avgNormalizedDistance,3,0.9142,0.4323,True
POINT,STATIC,HIGH,avgDistanceFromCenter_px,3,0.8611,0.2706,True
POINT,SLOW,LOW,throughput_shannon_nominal_bps,3,0.7953,0.1033,True
POINT,SLOW,LOW,throughput_shannon_effective_bps,3,0.7744,0.0547,True
POINT,SLOW,LOW,throughput_hoffmann_bps,3,0.7606,0.0235,False
POINT,SLOW,LOW,avgTime_ms,3,0.7806,0.069,True
POINT,SLOW,LOW,precisionRate_percent,3,1.0,1.0,True
POINT,SLOW,LOW,avgErrorClicks,3,0.9758,0.7017,True
POINT,SLOW,LOW,avgNormalizedDistance,3,0.8824,0.3314,True
POINT,SLOW,LOW,avgDistanceFromCenter_px,3,0.8778,0.3181,True
POINT,SLOW,MEDIUM,throughput_shannon_nominal_bps,3,0.7918,0.0951,True
POINT,SLOW,MEDIUM,throughput_shannon_effective_bps,3,0.7633,0.0295,False
POINT,SLOW,MEDIUM,throughput_hoffmann_bps,3,0.8093,0.1369,True
POINT,SLOW,MEDIUM,avgTime_ms,3,0.8256,0.1772,True
POINT,SLOW,MEDIUM,precisionRate_percent,3,1.0,1.0,True
POINT,SLOW,MEDIUM,avgErrorClicks,3,0.9119,0.4244,True
POINT,SLOW,MEDIUM,avgNormalizedDistance,3,0.9796,0.7262,True
POINT,SLOW,MEDIUM,avgDistanceFromCenter_px,3,0.8863,0.3432,True
POINT,SLOW,HIGH,throughput_shannon_nominal_bps,3,0.8237,0.1725,True
POINT,SLOW,HIGH,throughput_shannon_effective_bps,3,0.8416,0.2182,True
POINT,SLOW,HIGH,throughput_hoffmann_bps,3,0.7529,0.0065,False
POINT,SLOW,HIGH,avgTime_ms,3,0.7974,0.1084,True
POINT,SLOW,HIGH,precisionRate_percent,3,1.0,1.0,True
POINT,SLOW,HIGH,avgErrorClicks,3,0.7812,0.0704,True
POINT,SLOW,HIGH,avgNormalizedDistance,3,0.9901,0.8093,True
POINT,SLOW,HIGH,avgDistanceFromCenter_px,3,0.9397,0.5263,True
POINT,FAST,LOW,throughput_shannon_nominal_bps,3,0.9629,0.6296,True
POINT,FAST,LOW,throughput_shannon_effective_bps,3,0.9457,0.551,True
POINT,FAST,LOW,throughput_hoffmann_bps,3,0.9824,0.7456,True
POINT,FAST,LOW,avgTime_ms,3,0.9126,0.4267,True
POINT,FAST,LOW,precisionRate_percent,3,1.0,1.0,True
POINT,FAST,LOW,avgErrorClicks,3,1.0,1.0,True
POINT,FAST,LOW,avgNormalizedDistance,3,0.8611,0.2706,True
POINT,FAST,LOW,avgDistanceFromCenter_px,3,0.9537,0.5857,True
POINT,FAST,MEDIUM,throughput_shannon_nominal_bps,3,0.9857,0.7711,True
POINT,FAST,MEDIUM,throughput_shannon_effective_bps,3,0.9834,0.7536,True
POINT,FAST,MEDIUM,throughput_hoffmann_bps,3,0.9994,0.9551,True
POINT,FAST,MEDIUM,avgTime_ms,3,0.9442,0.5447,True
POINT,FAST,MEDIUM,precisionRate_percent,3,1.0,1.0,True
POINT,FAST,MEDIUM,avgErrorClicks,3,1.0,1.0,True
POINT,FAST,MEDIUM,avgNormalizedDistance,3,0.9643,0.6369,True
POINT,FAST,MEDIUM,avgDistanceFromCenter_px,3,0.962,0.6254,True
POINT,FAST,HIGH,throughput_shannon_nominal_bps,3,0.875,0.3097,True
POINT,FAST,HIGH,throughput_shannon_effective_bps,3,0.9786,0.7196,True
POINT,FAST,HIGH,throughput_hoffmann_bps,3,0.9647,0.6391,True
POINT,FAST,HIGH,avgTime_ms,3,0.8258,0.1776,True
POINT,FAST,HIGH,precisionRate_percent,3,1.0,1.0,True
POINT,FAST,HIGH,avgErrorClicks,3,0.9768,0.7082,True
POINT,FAST,HIGH,avgNormalizedDistance,3,0.9146,0.4335,True
POINT,FAST,HIGH,avgDistanceFromCenter_px,3,0.9209,0.4554,True
AREA,STATIC,LOW,throughput_shannon_nominal_bps,3,0.8589,0.2645,True
AREA,STATIC,LOW,throughput_shannon_effective_bps,3,0.9673,0.6525,True
AREA,STATIC,LOW,throughput_hoffmann_bps,3,0.8589,0.2645,True
AREA,STATIC,LOW,avgTime_ms,3,0.7962,0.1053,True
AREA,STATIC,LOW,precisionRate_percent,3,0.871,0.2983,True
