participant,technique,movement,clustering,trial,time_ms,errorClicks,amplitude_px,targetRadius,clickInside,distNorm,distPx,targetSpeed,targetVx,targetVy,clickX,clickY,targetX,targetY,prevTargetX,prevTargetY
1,POINT,SLOW,MEDIUM,4,661.0,0.0,168.26,13.948690150038907,True,0.282,3.94,120.0,-72.52,95.61,275.0,175.0,277.5,178.1,428.2,103.3
1,POINT,SLOW,MEDIUM,5,656.0,0.0,271.26,22.557223135084445,True,0.7,15.78,120.0,27.33,116.85,543.0,182.0,548.1,196.9,277.5,178.1
1,POINT,SLOW,MEDIUM,6,983.0,0.0,383.53,11.964841283984438,True,0.83,9.93,120.0,-55.54,106.38,257.0,461.0,262.1,452.5,548.1,196.9
1,POINT,SLOW,MEDIUM,7,834.0,0.0,47.73,11.65715958098816,True,0.434,5.06,120.0,114.29,-36.58,233.0,421.0,230.7,416.5,262.1,452.5
1,POINT,SLOW,MEDIUM,8,663.0,0.0,28.05,12.370980631640656,True,0.689,8.52,120.0,-56.69,105.76,254.0,393.0,245.5,392.6,230.7,416.5
1,POINT,SLOW,MEDIUM,9,854.0,0.0,214.24,22.408308335150906,True,0.359,8.03,120.0,-32.19,-115.6,67.0,525.0,72.9,519.5,245.5,392.6
1,POINT,SLOW,MEDIUM,10,831.0,0.0,487.3,13.855963899895812,True,0.706,9.78,120.0,-94.61,73.82,453.0,228.0,462.7,227.2,72.9,519.5
1,POINT,SLOW,MEDIUM,11,1195.0,1.0,255.8,13.539059844375466,True,0.742,10.04,120.0,-78.51,-90.76,246.0,111.0,236.4,108.0,462.7,227.2
1,POINT,SLOW,MEDIUM,12,1067.0,0.0,512.68,16.877524306766276,True,0.295,4.98,120.0,2.59,-119.97,541.0,525.0,541.5,520.0,236.4,108.0
1,POINT,SLOW,MEDIUM,13,782.0,0.0,296.88,22.945168808743123,True,0.626,14.36,120.0,52.39,-107.96,233.0,537.0,244.7,528.7,541.5,520.0
1,POINT,SLOW,MEDIUM,14,860.0,0.0,228.37,11.488534448043366,True,0.864,9.93,120.0,119.98,-2.35,100.0,365.0,94.5,356.7,244.7,528.7
1,POINT,SLOW,MEDIUM,15,1704.0,1.0,276.53,16.8896978784558,True,0.508,8.57,120.0,57.1,105.54,205.0,95.0,198.3,100.4,94.5,356.7
1,POINT,SLOW,MEDIUM,16,899.0,0.0,121.38,19.96230610980191,True,0.017,0.33,120.0,111.52,-44.32,88.0,49.0,88.3,49.2,198.3,100.4
1,POINT,SLOW,MEDIUM,17,736.0,0.0,144.62,27.147005444835152,True,0.793,21.52,120.0,96.49,-71.35,89.0,173.0,83.1,193.7,88.3,49.2
