participant,technique,movement,clustering,n_trials,mean_mt_ms,median_mt_ms,sd_mt_ms,total_errors,mean_errors,mean_dist_px,precision,mean_amplitude,mean_shannon_id,throughput_shannon_bps
10,BUBBLE,STATIC,HIGH,20,710.4,675.0,236.09552036589366,12,0.6,14.155000000000001,0.7,265.8594736842105,3.0625357675222156,4.461650763588695
10,BUBBLE,SLOW,LOW,20,532.85,477.0,166.3250701108177,2,0.1,36.527499999999996,0.15,315.4273684210526,3.1060193154616673,6.057723124108587
10,BUBBLE,SLOW,MEDIUM,20,637.9,561.5,240.82815450025774,5,0.25,23.7465,0.5,289.34473684210525,3.0297920808942567,5.281491020390737
10,BUBBLE,SLOW,HIGH,20,795.95,810.5,229.08731385308326,13,0.65,15.9,0.55,298.25,3.2637091765749138,4.331758918000235
10,BUBBLE,FAST,LOW,20,503.35,485.5,79.1575876603786,0,0.0,39.060500000000005,0.2,279.29526315789474,2.9215569852127214,5.833813441237385
10,BUBBLE,FAST,MEDIUM,20,664.2,589.5,250.99687563582813,5,0.25,21.799500000000002,0.4,316.0642105263158,3.3404755086498614,5.406579988924811
10,BUBBLE,FAST,HIGH,20,730.9,614.0,282.25742263327453,15,0.75,21.0935,0.4,313.3773684210526,3.1036390892678893,4.861636404283148
10,POINT,STATIC,LOW,20,732.3,674.0,197.88622462095952,6,0.3,11.842,1.0,309.7926315789474,3.1092722612180963,4.431268431369662
10,POINT,STATIC,MEDIUM,20,682.45,638.5,219.38825833379698,5,0.25,8.4655,1.0,234.0478947368421,2.7917759437015057,4.250339905289198
10,POINT,STATIC,HIGH,20,771.25,736.5,189.98528336357222,2,0.1,9.519,1.0,342.5994736842105,3.4217123358337473,4.518800903419521
10,POINT,SLOW,LOW,20,876.0,804.0,393.37554040569637,13,0.65,11.872,1.0,226.02,2.7493150431017708,3.4644924166925333
10,POINT,SLOW,MEDIUM,20,1101.45,916.0,455.6261712135694,18,0.9,9.5865,1.0,284.03315789473686,3.0532876756482574,3.2309585761569544
10,POINT,SLOW,HIGH,20,1044.05,852.0,531.4349467541432,31,1.55,9.7815,1.0,233.4521052631579,2.8408863426165443,3.2184621642803144
10,POINT,FAST,LOW,20,783.3,699.0,318.5445684755324,10,0.5,13.434000000000001,1.0,278.6594736842105,2.8508279987648835,3.8174010702847845
10,POINT,FAST,MEDIUM,20,1001.85,804.5,552.0318712195025,31,1.55,12.2395,1.0,299.38157894736844,3.16288306490128,3.7552756627175197
10,POINT,FAST,HIGH,20,1247.05,1066.5,517.6537630705031,45,2.25,9.4265,1.0,285.5021052631579,3.026176302461026,2.9512016223151045
10,AREA,STATIC,LOW,20,582.35,540.0,146.3633816010146,3,0.15,20.085,0.55,286.7789473684211,2.9016232265064055,5.253006394791888
10,AREA,STATIC,MEDIUM,20,697.0,566.0,296.9488703109466,7,0.35,15.110499999999998,0.85,274.17052631578946,2.9254864897428625,4.507437621506785
10,AREA,STATIC,HIGH,20,795.6,634.0,379.31675417782424,9,0.45,9.987,0.95,335.2236842105263,3.2502941932673397,4.4504735451547495
10,AREA,SLOW,LOW,20,683.75,528.5,335.01341292865465,9,0.45,18.846,0.65,285.35368421052635,2.981711769468491,4.9297558688630545
10,AREA,SLOW,MEDIUM,20,846.15,611.5,450.76989987307155,16,0.8,16.328,0.7,352.55368421052634,3.3082303584936845,4.259244622044669
10,AREA,SLOW,HIGH,20,788.75,739.5,269.6045593476724,15,0.75,15.0415,0.85,286.48526315789474,3.0901509690716518,4.284644799758036
10,AREA,FAST,LOW,20,762.85,569.5,504.95026070839265,14,0.7,23.921,0.5,333.8894736842105,3.3352500628567547,5.121671459267965
10,AREA,FAST,MEDIUM,20,918.9,847.0,403.95529976784104,23,1.15,16.408,0.75,273.42473684210523,2.951173438455131,3.650787114701245
10,AREA,FAST,HIGH,20,1146.8,1065.0,630.6783816277767,32,1.6,12.450500000000002,0.95,279.36947368421056,2.990129656798099,3.2734396995421386
