participant,technique,movement,clustering,conditionIndex,techBlock,trialNumber,time_ms,errorClickCount,clickX,clickY,targetX,targetY,distanceToCenter_px,normalizedDistance,clickedInsideTarget,amplitude_px,targetRadius,targetVx_px_per_s,targetVy_px_per_s,targetSpeed_px_per_s,shannon_id_bits
1,POINT,FAST,MEDIUM,3,1,9.0,731,0,418.0,526.0,426.2,521.9,9.14,0.316,True,75.28,28.919547019191068,71.79,73.65,102.85,1.2026006602006774
1,POINT,FAST,MEDIUM,3,1,10.0,1494,1,207.0,237.0,194.5,231.1,13.78,0.637,True,371.83,21.62223646383882,-107.28,-87.5,138.44,3.2627825500348657
1,POINT,FAST,MEDIUM,3,1,11.0,970,0,101.0,62.0,104.1,55.3,7.36,0.384,True,197.68,19.17065234636842,113.92,-70.11,133.77,2.6219457561981883
1,POINT,FAST,MEDIUM,3,1,12.0,879,0,336.0,203.0,335.6,198.5,4.49,0.417,True,272.19,10.771489569131095,14.13,-140.83,141.54,3.7692155782711794
1,POINT,FAST,MEDIUM,3,1,13.0,2147,3,575.0,518.0,579.6,524.1,7.66,0.531,True,406.89,14.409076673306004,0.0,141.53,141.53,3.918312314075385
1,POINT,FAST,MEDIUM,3,1,14.0,797,0,535.0,303.0,525.3,323.8,22.94,0.952,True,207.55,24.102326101554045,-51.27,126.94,136.9,2.407516191027563
1,POINT,FAST,MEDIUM,3,1,15.0,912,0,254.0,551.0,245.6,555.6,9.59,0.492,True,363.29,19.490205277602115,-126.97,-46.18,135.1,3.3673444320844106
1,POINT,FAST,MEDIUM,3,1,16.0,1616,1,123.0,73.0,131.3,54.6,20.14,0.719,True,513.81,28.00063328810588,-34.98,-104.83,110.51,3.3469527856169154
1,POINT,FAST,MEDIUM,3,1,17.0,3338,3,357.0,447.0,358.8,445.5,2.32,0.165,True,452.21,14.077675440579247,41.37,115.61,122.78,4.092651056653275
1,POINT,FAST,MEDIUM,3,1,18.0,839,0,182.0,173.0,185.9,179.9,7.97,0.31,True,316.83,25.681201920268425,130.23,-13.96,130.98,2.8416752332950965
